alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence,category,source
கெரிஸனி வர்ணனொ,kerisani varNano,செய்முறை விளக்கம்,Practical description,,,,,school,corpus_sourashtradictionary
கே4ரப்4யாஸ்,ghErabhyaas,வீட்டு பாடம்,Homework,,,,,school,corpus_sourashtradictionary
ஶேக்,ssEk,வகுப்பு வேலை,Class work,,,,,school,corpus_sourashtradictionary
மனனொ,manano,மனப்பாடம்,Memorization,,,,,school,corpus_sourashtradictionary
மனன கெரத்தெ,manana keratte,மனப்பாடம் செய்தல்,Memorising,,,,,school,corpus_sourashtradictionary
பன்து,pantu,போட்டி,Competition,,,,,school,corpus_sourashtradictionary
மந்து,mantu,போட்டி,Competition,,,,,school,corpus_sourashtradictionary
புரஸ்கார்,puraskaar,விருது,Award,,,,,school,corpus_sourashtradictionary
மம்பு,mampu,உதவித்தொகை,Stipend,,,,,school,corpus_sourashtradictionary
பரீக்ஷொ,pareeksho,பரிட்சை,Examination,,,,,school,corpus_sourashtradictionary
ஒத்தடி3 தொ2வ்னி,ottaDi thovni,"தள்ளி வைத்தல், விலக்கி வைத்தல்","Postpone, Debarment",,,,,school,corpus_sourashtradictionary
தொ3ப்3பி3 தொ2வ்னி,dobbi thovni,"தள்ளி வைத்தல், விலக்கி வைத்தல்","Postpone, Debarment",,,,,school,corpus_sourashtradictionary
லங்க3த்தெ,langgatte,"தேர்ச்சி பெறுதல், கடத்தல்","Pass, Cross",,,,,school,corpus_sourashtradictionary
ப்ரமாண்பத்ரொ,pramaaNpatro,சான்றிதழ்,Certificate,,,,,school,corpus_sourashtradictionary
ஜேமு,jEmu,பரிசு,"Gift, Reward, Prize",,,,,school,corpus_sourashtradictionary
த3ஸ்து,dastu,கட்டணம்,Fee,,,,,school,corpus_sourashtradictionary
வித்3யாவி,vidyaavi,"படித்தவர், நாவலர்",Educated,,,,,school,corpus_sourashtradictionary
கி3ரிடி3,giriDi,விளையாட்டு,"Game, Sports, Play",,,,,school,corpus_sourashtradictionary
கே2ள்,khEL,விளையாட்டு,"Game, Sports, Play",,,,,school,corpus_sourashtradictionary
ஸூத்ரம்,sootram,விதிமுறை,Formula,,,,,school,corpus_sourashtradictionary
சாலு,caalu,வரலாறு,History,,,,,school,corpus_sourashtradictionary
சரிதம்,caritam,வரலாறு,History,,,,,school,corpus_sourashtradictionary
சரித்ரு,caritru,வரலாறு,History,,,,,school,corpus_sourashtradictionary
ஶஸ்த்ர வித்3யொ,ssastra vidyo,ஆயுதப் படிப்பு,"Study of Arms, Weapons and Tools",,,,,school,corpus_sourashtradictionary
ஶாஸ்த்ர வித்3யொ,ssaastra vidyo,விஞ்ஞான படிப்பு,Study of Science,,,,,school,corpus_sourashtradictionary
ஸாஹித்யொ,saahityo,இலக்கியம்,Literature,,,,,school,corpus_sourashtradictionary
ரஸாயனொ,rasaayano,வேதியியல் பொருள்கள்,Chemicals,,,,,school,corpus_sourashtradictionary
ரஸஶாலொ,rasassaalo,ஆய்வகம்,Laboratory,,,,,school,corpus_sourashtradictionary
கலொ,kalo,"கலை, கலைகள்","Art, Arts",,,,,school,corpus_sourashtradictionary
விஞான்,vinjaan,அறிவியல்,Science,,,,,school,corpus_sourashtradictionary
க3ணித ஶாஸ்த்ரொ,gaNita ssaastro,"கணக்கியல், கணிதம்","Maths, Mathematics",,,,,school,corpus_sourashtradictionary
பௌ4திக ஶாஸ்த்ரொ,bhautika ssaastro,இயற்பியல்,Physics,,,,,school,corpus_sourashtradictionary
ரஸாயன ஶாஸ்த்ரொ,rasaayana ssaastro,வேதியியல்,Chemistry,,,,,school,corpus_sourashtradictionary
வனஸ்பதினு ஶாஸ்த்ரொ,vanaspatinu ssaastro,தாவரவியல்,Botony,,,,,school,corpus_sourashtradictionary
மூகு3னு ஶாஸ்த்ரொ,moogunu ssaastro,விலங்கியல்,Zoology,,,,,school,corpus_sourashtradictionary
ஜீவுனு ஶாஸ்த்ரொ,jeevunu ssaastro,உயிரியல்,Biology,,,,,school,corpus_sourashtradictionary
விவருனு ஶாஸ்த்ரொ,vivarunu ssaastro,தகவலியல்,Informatics,,,,,school,corpus_sourashtradictionary
ஜீவு விவருனு ஶாஸ்த்ரொ,jeevu vivarunu ssaastro,உயிர் தகவலியல்,Bioinformatics,,,,,school,corpus_sourashtradictionary
ஒடு3வம்,oDuvam,பூணூல் கல்யாணம்,Sacred thread wearing function,"ஒடு3வம் 5, 7, 9 ந்ஹீஜியெத் 11 ஒர்ஸும் கெரஸுன்","oDuvam 5, 7, 9 nheejiyet 11 orsum kerasun","உபநயனம் 5, 7, 9 அல்லது 11 வயதில் செய்யப்படுகிறது","Upanayanam is done at the age of 5, 7, 9 or 11 years",marriage,corpus_sourashtradictionary
ஜெஞ்ஜெம்,jenjjem,பூணூல்,Sacred thread,"ப4வள்னு, க்ஷத்ரியர்னு அங்கு3 வைஸ்யர்னு ஜெஞ்ஜெம் க4ல்லஸுன்","bhavaLnu, kshatriyarnu anggu vaisyarnu jenjjem ghallasun","பிராமணர்கள், க்ஷத்திரியர்கள் மற்றும் வைசியர்கள் பூணூல் அணிவார்கள்","Jenjam is worn by Brahmins, Kshatriyas and Vaisya",marriage,corpus_sourashtradictionary
ஸௌணால்,sauNaal,ஆவணி அவிட்டம்,Sacred thread Renewal Day,ஸௌணால் தி3 ஜெஞ்ஜெம் மர்ச்சிலி வேது3ன் அப்4யாஸ் கெர்னொ,sauNaal di jenjjem marccili vEdun abhyaas kerno,ஆவணி அவிட்டம் அன்று பூணூல் புதுப்பித்து வேதம் பயில வேண்டும்,"On Avani Avittam, Jenjem should be renewed and Veda should be practiced",marriage,corpus_sourashtradictionary
ப்ராமொபெ3ட்3கி,praamobeDki,காதலி,"Girlfriend, Lovergirl, Lover girl",தெனொ தொரெ ப்ராமொபெ3ட்கியா?,teno tore praamobeTkiyaa?,அவள் உன் காதலியா?,Is she your girlfriend?,marriage,corpus_sourashtradictionary
ப்ராமொபெ3ட்3கொ,praamobeDko,காதலன்,"Boyfriend, Loverboy, Lover boy",தெனொ அபுல் ப்ராமொபெ3ட்3காக் ஹொராட்3 கெர்லிஸ்,teno apul praamobeDkaak horaaD kerlis,அவள் தன் காதலனை மணந்தாள்,She married her lover boy,marriage,corpus_sourashtradictionary
ப்ரேமி,prEmi,"காதலன், காதலி","Lover, Darling, Loverboy, Lovergirl",தெனொ மொரெ ப்ரேமி,teno more prEmi,அவள் என் காதலி,She is my lover,marriage,corpus_sourashtradictionary
"ஜர்கெம் பான், பான்","jarkem paan, paan",ஜாதகம்,"Horoscope, Birth Chart",தெ2வ்டெ3தெனு ஜர்கெம் பான் ஸானாத்தக் ஹொராட்3 கெர்லஸுன்,thevDetenu jarkem paan saanaattak horaaD kerlasun,சிலர் ஜாதகம் பார்க்காமல் திருமணம் செய்து கொள்கின்றனர்,Some people get married without looking at horoscopes,marriage,corpus_sourashtradictionary
"செர்ச்சி ஸா, செர்ச்சி ஸவொ","cercci saa, cercci savo",பொருத்து,Match,பெ3ட்கா பெ3ட்கி பான் செர்ச்சி ஸா,beTkaa beTki paan cercci saa,பையன் மற்றும் பெண்ணின் ஜாதகங்களைப் பொருத்தவும்,Match horoscopes of boy and girl,marriage,corpus_sourashtradictionary
செர்னி,cerni,பொருத்தம்,"Match, Compatible",பான் செர்ர்ஹியெத் ஹொராட்3 கெர்லுவாய்,paan cerrhiyet horaaD kerluvaay,ஜாதகம் பொருத்தமாக இருந்தால் திருமணம் செய்து கொள்ளலாம்,"If the horoscopes are compatible, they can marry",marriage,corpus_sourashtradictionary
செர்னி ந்ஹினா,cerni nhinaa,பொருத்தமின்மை,"Mismatch, Incompatible",எல்லெ தீ3 பானுன் செர்னி ந்ஹீனாத்தெயொ,elle dee paanun cerni nheenaatteyo,இந்த இரண்டு ஜாதகங்களும் பொருத்தமற்றவை,Both these horoscopes are incompatible,marriage,corpus_sourashtradictionary
செரய்,ceray,பொருந்தும்,"Will match, Compatible, Applicable",எல்லெ தீ3 பானுன் செரய்,elle dee paanun ceray,இந்த இரண்டு ஜாதகங்களும் பொருந்தும்,Both these horoscopes are compatible,marriage,corpus_sourashtradictionary
செர்னா,cernaa,"பொருந்தாது, பொருத்தமின்மை","Will not match, Mismatch, Incompatible, Not applicable",எல்லெ தீ3 பானுன் செர்னா,elle dee paanun cernaa,"இந்த இரண்டு ஜாதகங்களும் பொருந்தாது,",These two horoscopes are incompatible,marriage,corpus_sourashtradictionary
செரத்திஸா,cerattisaa,பொருந்தக்கூடிய,"Compatible, Applicable, Apt",எல்லெ செரத்திஸா பானுன்,elle cerattisaa paanun,இவை பொருந்தக்கூடிய ஜாதகங்கள்,These are compatible horoscopes,marriage,corpus_sourashtradictionary
செர்னாத்திஸா,cernaattisaa,பொருந்தாத,"Incompatible, Not applicable",எல்லெ செர்னாத்திஸா பானுன்,elle cernaattisaa paanun,இவை பொருந்தாத ஜாதகங்கள்,These are incompatible horoscopes,marriage,corpus_sourashtradictionary
நிகு3,nigu,முடிவு,"Finalize, Confirm",கொனக்கி தெல்லெ பெ3ட்காக் பெ3ட்கி நிகு3 கெர்த்தியா,konakki telle beTkaak beTki nigu kerttiyaa,எப்படியோ அந்த பையனுக்கு பெண்ணை முடிவு செய்துவிட்டார்கள்,Somehow they finalised the girl for the boy,marriage,corpus_sourashtradictionary
கெ4ட்டிவிடொ3,gheTTiviDo,நிச்சயதார்த்தம்,"Betrothal, Engagement",கெ4ட்டிவிடொ3 ப2ராது ஹொராடு3க் உன்னொபொட3யொ 6 ம்ஹடொ3 ஹோயி,gheTTiviDo pharaatu horaaDuk unnopoDayo 6 mhaDo hOyi,நிச்சயதார்த்தத்திற்குப் பிறகு திருமணத்திற்கு குறைந்தது 6 மாதங்கள் ஆகும்,Marriage takes at least 6 months after engagement,marriage,corpus_sourashtradictionary
கெ4ட்டிகெரெ நொவ்ரொ,gheTTikere novro,வருங்கால கணவன்,"Fiance, Fiancé",தெனு மொரெ கெ4ட்டிகெரெ நொவ்ரொ,tenu more gheTTikere novro,அவர் என் வருங்கால கணவர்,He is my fiance,marriage,corpus_sourashtradictionary
கெ4ட்டிகெரெ நொவ்ரி,gheTTikere novri,வருங்கால மனைவி,"Fiancee, Fiancée",தெனு அபுல் கெ4ட்டிகெரெ நொவ்ரிக் ஒண்டெ முத்3தி3க் ஜேம் தி3யாஸி,tenu apul gheTTikere novrik oNTe muddik jEm diyaasi,அவர் தனது வருங்கால மனைவிக்கு ஒரு மோதிரத்தை பரிசளித்தார்,He gifted his fiance a ring,marriage,corpus_sourashtradictionary
தெ3வ்லய்,devlay,"திருமண சம்பந்தம், திருமண உறவு",Matrimonial relationship,அமி தெங்கொ3 ஸெரொ தெ3வ்லய் கெர்ல்ரியொ,ami tenggo sero devlay kerlriyo,நாங்கள் அவர்களுடன் திருமண சம்பந்தம் செய்துள்ளோம்,We have matrimonial relations with them,marriage,corpus_sourashtradictionary
தே3ஸ்ஹன்னவ்,dEshannav,ஒப்பு தாம்புலம்,Token Betrothal,பெ3ட்க கெரான் தே3ஸ்ஹன்னவ்கன் ரூ 51 தி3யாஸி,beTka keraan dEshannavkan roo 51 diyaasi,பையன் தரப்பில் ஒப்பு தாம்புலமாக ரூ.51 கொடுத்தார்கள்,They gave Rs 51 as Token Betrothel from the boy side,marriage,corpus_sourashtradictionary
தெ3வுகாஸ்,devukaas,திருமணத்திற்கு முன்தினம்,"Day before marriage, Eve of marriage",தெ3வுகாஸ் தெந்து3ஸ் அபுல் கொ4ம்மா தே3வ்தானுக் பாய்ஞ்பொட3ஸுன்,devukaas tendus apul ghommaa dEvtaanuk paaynjpoDasun,திருமணத்திற்கு முந்தைய நாள் தங்கள் வீட்டு தேவதைகளை வழிபடுகிறார்கள்,They worship their household deities on the eve of marriage,marriage,corpus_sourashtradictionary
பெரண்ட3ம்,peraNDam,சுமங்கலி பூஜை,Sumangali Puja,பெரண்ட3மு பாஞ்ஜு ஸுமங்க3லினுக் புஜொ கெரனு,peraNDamu paanjju sumanggalinuk pujo keranu,சுமங்கலி பிரார்த்தனையில் ஐந்து சுமங்கலிகளுக்கு பூஜை செய்வார்கள்,In Sumangali prayer five Sumangalis are worshiped,marriage,corpus_sourashtradictionary
