example_sentence_sourashtra,example_sentence_english,example_sentence_tamil
பில்லல்னு தெ3ஸ்ஸு ஒர்ஸு லெந்து கெது3ரொ க4ல்லஸுனு,Children wear a girdle till the age of ten,குழந்தைகள் பத்து வயது வரை அரைஞாண்கயிறு அணிவார்கள்
க3ஹதிரின் பெ3ட்கி பில்லல்னுக் கெது3ராம் பொமி க4லனு,Heart shaped amulet is stringed in the girdle for girl babies,அருமுடி பெண் குழந்தைகளுக்கு அரைஞான் கயிற்றில் கோர்த்து கட்டுவார்கள்
தெனு கெ3லாம் லெச்செ க4ல்லி ஸே,He wears a talisman around his neck,அவர் கழுத்தில் தாயத்து அணிந்திருக்கிறார்
தெ2வ்டெ3தெனு பஞ்சூ அங்கி3ளிம் முத்3தி3 க4ல்லஸுன்,Some wear rings on all five fingers,சிலர் ஐந்து விரல்களிலும் மோதிரங்களை அணிவார்கள்
தெனு அபுல் பெ4ய்னுக் ஒண்டெ மொதி3 மாலாக் தி3யாஸி,He gave his younger sister a pearl necklace,அவர் தனது தங்கைக்கு ஒரு முத்து மாலையை கொடுத்தார்
கங்க்3ராம் கெங்க3ண் ஸோன் பாயிம் பி3ந்து3ளொ ப4ந்த3னு,Ankle-strings are tied to the feet like wrist-string on the wrists,மணிக்கட்டில் கைக் காப்பு போல் காலில் கால் காப்பு கட்டுவார்கள்
நஸத்தெனுன் அபுல் பாயிம் த4கி3ரி க4ல்லனு,Dancers wear musical anklet on their feet,நடனக் கலைஞர்கள் தங்கள் காலில் சலங்கை அணிவார்கள்
அந்தெ3ல் மெனரியொ பெ3ய்லன் பாயிம் க4ல்லத்திஸானுகெ,Andel is worn by women on their feet,சிலம்பு என்பது பெண்கள் காலில் அணிவது
கொ3ஸுலும் பி4த்தர் ரெத்தனு தெ3ய்டா3ன் ர்ஹாயி,There will be gemstones inside the gosul,சிலம்பின் உள்ளே ரத்தினக் கற்கள் இருக்கும்
செய்ம்பட்டெக் ஸொர்ணும் மெல்லொ கெரஸுனு,The clasp is made in gold also,கொலுசை தங்கத்திலும் செய்வார்கள்
அத்3த3ம் அபுலானுக் ஸீலத்தக் ஒர்க3ஸு,Mirror is used for looking at oneself,கண்ணாடி தன்னைப் பார்க்கப் பயன்படுகிறது
பொ3ண்டி3ம் பஸ்கட் ஸாத்தக் தோ3பு3 நுக3ஸு,Mirror is used in car to view the rear side,காரில் பின்புறம் பார்க்க கண்ணாடி பயன்படுகிறது
நவீன தௌ3ணான் ருப்பொ ந்ஹீஜியெத் ஜெல்மினும் கெரஸுனு,Modern mirrors are made of silver or aluminum,நவீன கண்ணாடிகள் வெள்ளி அல்லது அலுமினியத்தில் செய்கிறார்கள்
40 ஒர்ஸு த3டெ3 ஜு3கு3தெனு தொ3ளா அத்3த3ம் க4ல்லஸுன்,Most people over 40 wear specs,40 வயதுக்கு மேற்பட்ட பெரும்பாலானோர் மூக்குக் கண்ணாடி அணிகிறார்கள்
அத்தொ பில்லல்னு மெல்லொ ச2ஸ்மொ க4ல்லராஸ்,Even children are wearing specs these days,இப்போது குழந்தைகள் கூட மூக்குக் கண்ணாடி அணிகிறார்கள்
ஜவ்ணான் ஒண்டெ ந்ஹன்ன பொ2ன்னிக் கொ2ள்டிம் தொ2வ்லி ஸே,Youths keep a small comb in the pocket,இளைஞர்கள் ஒரு சிறிய சீப்பை பாக்கெட்டில் வைத்திருக்கிறார்கள்
தொ3ஸ்காம் ஜூ2ம் ஜவடத்தக் பொ2ன்னொ ப்ரயோக்3 கெருவாயி,RobiComb can be used to remove lice in the head,தலையில் பேன்களைக் அகற்ற ஈர்க்கொல்லியைப் பயன்படுத்தலாம்
ஒல்லொ கே2ஸுக் ஸுக்கட3த்தக் சாத் நுக3ஸு,Scratching rod is used to dry wet hair,ஈரமான முடியை உலர்த்துவதற்கு ஈர்க்கம்பி பயன்படுகிறது
ஹொராட்3ஹொயெ அளின் பா4ங்கு3ம் பொ3ட்டு லவ்லனு,Married women apply Sindoor on the hair parting,திருமணமான பெண்கள் வகிடில் திலகம் இடுவார்கள்
நொவ்ராக் அவ்தொ லவொ,Apply turmeric tilak to the groom,மாப்பிள்ளைக்கு மஞ்சள் திலகம் இடவும்
